Date,Promotion,Event Name,Location 1,Location 2
Aug 4th 2015,WWE,Main Event Taping,Sacramento,California
Aug 3rd 2015,WWE,Monday Night Raw,San Jose,California
Aug 3rd 2015,WWE,Superstars Taping #330,San Jose,California
Aug 2nd 2015,WWE,WWE Live - SummerSlam Heatwave Tour,Stockton,California
Aug 2nd 2015,WWE,WWE Live - SummerSlam Heatwave Tour,Fresno,California
Aug 1st 2015,WWE,WWE Live - SummerSlam Heatwave Tour,Hidalgo,Texas
Aug 1st 2015,WWE,WWE Live - SummerSlam Heatwave Tour,Ontario,California
Jul 31st 2015,WWE,WWE Live - SummerSlam Heatwave Tour,San Diego,California
Jul 28th 2015,WWE,Smackdown Taping,Tulsa,Oklahoma
Jul 28th 2015,WWE,Main Event Taping,Tulsa,Oklahoma
Jul 27th 2015,WWE,Monday Night Raw,Oklahoma City,Oklahoma
Jul 27th 2015,WWE,Superstars Taping #329,Oklahoma City,Oklahoma
Jul 26th 2015,WWE,WWE Live - SummerSlam Heatwave Tour,Amarillo,Texas
Jul 26th 2015,WWE,WWE Live - SummerSlam Heatwave Tour,Lawton,Oklahoma
Jul 25th 2015,WWE,WWE Live - SummerSlam Heatwave Tour,Los Angeles,California
Jul 25th 2015,WWE,WWE Live - SummerSlam Heatwave Tour,Odessa,Texas
Jul 24th 2015,WWE,WWE Live - SummerSlam Heatwave Tour,Bakersfield,California
Jul 21st 2015,WWE,Smackdown Taping,Lincoln,Nebraska
Jul 21st 2015,WWE,Main Event Taping,Lincoln,Nebraska
Jul 20th 2015,WWE,Monday Night Raw,Kansas City,Missouri
Jul 20th 2015,WWE,Superstars Taping #328,Kansas City,Missouri
Jul 19th 2015,WWE,Battleground '15,St. Louis,Missouri
Jul 18th 2015,WWE,WWE Live - SummerSlam Heatwave Tour,Danville,Illinois
Jul 18th 2015,WWE,WWE Live - SummerSlam Heatwave Tour,Peoria,Illinois
Jul 17th 2015,WWE,WWE Live - SummerSlam Heatwave Tour,Newark,New Jersey
Jul 14th 2015,WWE,Smackdown Taping,Birmingham,Alabama
Jul 14th 2015,WWE,Main Event Taping,Birmingham,Alabama
Jul 13th 2015,WWE,Monday Night Raw,Atlanta,Georgia
Jul 13th 2015,WWE,Superstars Taping #327,Atlanta,Georgia
Jul 12th 2015,WWE,WWE Live - SummerSlam Heatwave Tour,Knoxville,Tennessee
Jul 12th 2015,WWE,WWE Live - SummerSlam Heatwave Tour,Macon,Georgia
Jul 11th 2015,WWE,WWE Live - SummerSlam Heatwave Tour,Pittsburgh,Pennsylvania
Jul 11th 2015,WWE,WWE Live - SummerSlam Heatwave Tour,Nashville,Tennessee
Jul 10th 2015,WWE,WWE Live - SummerSlam Heatwave Tour,Philadelphia,Pennsylvania
Jul 7th 2015,WWE,Smackdown Taping,Milwaukee,Wisconsin
Jul 7th 2015,WWE,Main Event Taping,Milwaukee,Wisconsin
Jul 6th 2015,WWE,Monday Night Raw,Chicago,Illinois
Jul 6th 2015,WWE,Superstars Taping #326,Chicago,Illinois
Jul 5th 2015,WWE,WWE Live - SummerSlam Heatwave Tour,Rockford,Illinois
Jul 4th 2015,WWE,WWE Live - SummerSlam Heatwave Tour,Winnipeg,Manitoba
Jul 4th 2015,WWE,Beast In The East,Tokyo,Tokyo
Jul 3rd 2015,WWE,WWE Live,Tokyo,Tokyo
Jul 2nd 2015,WWE,WWE Live,Kallang,Singapore
Jun 30th 2015,WWE,Smackdown Taping,Hershey,Pennsylvania
Jun 30th 2015,WWE,Main Event Taping,Hershey,Pennsylvania
Jun 29th 2015,WWE,Monday Night Raw,Washington,DC
Jun 29th 2015,WWE,Superstars Taping #325,Washington,DC
Jun 28th 2015,WWE,WWE Live - SummerSlam Heatwave Tour,Reading,Pennsylvania
Jun 28th 2015,WWE,WWE Live - SummerSlam Heatwave Tour,Roanoke,Virginia
Jun 27th 2015,WWE,WWE Live Supershow,Boston,Massachusetts
Jun 23rd 2015,WWE,Smackdown Taping,Toledo,Ohio
Jun 23rd 2015,WWE,Main Event Taping,Toledo,Ohio
Jun 22nd 2015,WWE,Monday Night Raw,Indianapolis,Indiana
Jun 22nd 2015,WWE,Superstars Taping #324,Indianapolis,Indiana
Jun 21st 2015,WWE,WWE Live - SummerSlam Heatwave Tour,Kalamazoo,Michigan
Jun 21st 2015,WWE,WWE Live - SummerSlam Heatwave Tour,Fort Wayne,Indiana
Jun 20th 2015,WWE,WWE Live - SummerSlam Heatwave Tour,Las Vegas,Nevada
Jun 20th 2015,WWE,WWE Live - SummerSlam Heatwave Tour,Grand Rapids,Michigan
Jun 19th 2015,WWE,WWE Live - SummerSlam Heatwave Tour,Saginaw,Michigan
Jun 16th 2015,WWE,Smackdown Taping,Buffalo,New York
Jun 16th 2015,WWE,Main Event Taping,Buffalo,New York
Jun 15th 2015,WWE,Monday Night Raw,Cleveland,Ohio
Jun 15th 2015,WWE,Superstars Taping #323,Cleveland,Ohio
